CUST_ID,SEGMENT_NAME,CLUSTER_ID,BALANCE,PURCHASES,CREDIT_LIMIT,PAYMENTS,UTILIZATION_RATIO,PAYMENT_TO_BALANCE,SPEND_VELOCITY,INSTALLMENT_FREQUENCY,CASH_ADVANCE_RATIO,FRAUD_RISK_SCORE,ANOMALY_FLAG,TENURE,PRC_FULL_PAYMENT
C10001,Dormant/Low Engagement,1,40.900749,95.4,1000.0,201.802084,0.040900749,4.816192760659243,0.0954,0.9896265560165975,0.0,2.92,0,12.0,0.0
C10002,Cash Advance Users,0,3202.467416,0.0,7000.0,4103.032597,0.4574953451428571,1.2808098426433316,0.0,0.0,0.9998448155710444,22.42,0,12.0,0.222222
C10003,Dormant/Low Engagement,1,2495.148862,773.17,7500.0,622.066742,0.3326865149333333,0.2492105945562793,0.1030893333333333,0.0,0.0,11.21,0,12.0,0.0
C10004,Dormant/Low Engagement,1,1666.670542,1499.0,7500.0,0.0,0.2222227389333333,0.0,0.1998666666666666,0.0,0.1206410262876175,19.03,0,12.0,0.0
C10005,Revolvers,2,817.714335,16.0,1200.0,678.334763,0.6814286125,0.8285365651988981,0.0133333333333333,0.0,0.0,10.98,0,12.0,0.0
C10006,Transactors,3,1809.828751,1333.28,1800.0,1400.05777,1.0,0.7731585713043496,0.7407111111111111,0.9992505321221932,0.0,26.9,0,12.0,0.0
C10007,Transactors,3,627.260806,7091.01,13500.0,6354.314328,0.0464637634074074,10.114134555769184,0.5252600000000001,0.0970641609360392,0.0,42.83,0,12.0,1.0
C10008,Revolvers,2,1823.652743,436.2,2300.0,679.065082,0.7928924969565218,0.3721612699211555,0.1896521739130434,0.9977127172918572,0.0,13.47,0,12.0,0.0
C10009,Dormant/Low Engagement,1,1014.926473,861.49,7000.0,688.278568,0.1449894961428571,0.6774885646670219,0.12307,0.231886746513003,0.0,8.99,0,12.0,0.0
C10010,Dormant/Low Engagement,1,152.225975,1281.6,11000.0,1164.770591,0.013838725,7.601652337340323,0.1165090909090909,0.0,0.0,14.05,0,12.0,0.0
C10011,Transactors,3,1293.124939,920.12,1200.0,1083.301007,1.0,0.8370915159374732,0.7667666666666667,0.9989143651207226,0.0,25.3,0,12.0,0.0
C10012,Transactors,3,630.794744,1492.18,2000.0,705.618627,0.315397372,1.116847890396505,0.74609,0.0,0.0,11.98,0,12.0,0.0
C10013,Transactors,3,1516.92862,3217.99,3000.0,608.263689,0.5056428733333334,0.4007195601859065,1.0,0.2229767722173725,0.0,26.26,0,12.0,0.25
C10014,Dormant/Low Engagement,1,921.693369,2137.93,7500.0,1655.891435,0.1228924491999999,1.794628086245627,0.2850573333333333,0.8031913152838102,0.0,12.55,0,12.0,0.083333
C10015,Revolvers,2,2772.772734,0.0,3000.0,805.647974,0.924257578,0.2904520489817461,0.0,0.0,0.9971248785153356,7.6,0,12.0,0.0
C10016,Cash Advance Users,0,6886.213231,1611.7,8000.0,1993.439277,0.860776653875,0.2894406213571754,0.2014625,0.9993799218701556,0.587986408943158,39.21,0,12.0,0.0
C10017,Revolvers,2,2072.074354,0.0,3000.0,391.974562,0.6906914513333333,0.1890788727590424,0.0,0.0,0.9996409689863184,7.56,0,8.0,0.0
C10018,Dormant/Low Engagement,1,41.089489,519.0,2500.0,254.590662,0.0164357956,6.048794320121112,0.2076,0.9980769230769232,0.0,1.33,0,12.0,0.25
C10019,Dormant/Low Engagement,1,1989.072228,504.35,13000.0,1720.837373,0.153005556,0.8647110133934295,0.0387961538461538,0.6695359651726527,0.0,23.26,0,12.0,0.0
C10020,Revolvers,2,3577.970933,398.64,4000.0,1053.980464,0.89449273325,0.2944926024075088,0.09966,0.9974977479731758,0.0,18.9,0,12.0,0.0
C10021,Revolvers,2,2016.684686,176.68,2000.0,223.0686,1.0,0.1105567195646545,0.08834,0.9943719045475012,0.0,20.33,0,12.0,0.0
C10022,Transactors,3,6369.531318,6359.95,11250.0,2077.959051,0.5661805616000001,0.3261830053528982,0.5653288888888889,0.0707300010218599,0.0347540214072436,45.92,0,12.0,0.0
C10023,Dormant/Low Engagement,1,132.34224,815.9,1800.0,2359.629958,0.0735234666666666,17.69604258935503,0.4532777777777778,0.9987758599583793,0.0,11.11,0,12.0,0.0
C10024,Cash Advance Users,0,3800.151377,4248.35,9000.0,9479.043842,0.4222390418888889,2.493729636592686,0.4720388888888889,0.1868026874698483,0.6523698073070368,59.12,1,12.0,0.0
C10025,Revolvers,2,5368.571219,0.0,6000.0,1422.726707,0.8947618698333334,0.2649609529278133,0.0,0.0,0.9987499216560276,14.88,0,11.0,0.0
C10026,Dormant/Low Engagement,1,169.781679,399.6,3000.0,215.306142,0.056593893,1.260709832932372,0.1332,0.9975037443834248,0.0,1.69,0,12.0,0.0
C10027,Revolvers,2,1615.96724,102.0,1700.0,890.178845,0.9505689647058824,0.550523735409754,0.06,0.0,0.7038872574019094,14.27,0,12.0,0.0
C10028,Dormant/Low Engagement,1,125.694817,233.28,1000.0,207.773715,0.125694817,1.639954340042182,0.23328,0.9957316032098344,0.0,4.99,0,12.0,0.0
C10029,Cash Advance Users,0,7152.864372,387.05,10500.0,1601.448347,0.6812251782857143,0.2238578010044499,0.0368619047619047,0.4703002190439376,0.8521260951641708,32.16,0,12.0,0.0
C10030,Dormant/Low Engagement,1,22.06349,100.0,6900.0,160.767773,0.0031976072463768,6.970661118503747,0.0144927536231884,0.99009900990099,0.0,6.64,0,12.0,0.0
C10031,Cash Advance Users,0,12136.21996,3038.01,13000.0,4230.323491,0.9335553815384616,0.3485413879736592,0.2336930769230769,0.6662728980819411,0.5116168046027342,61.76,1,12.0,0.0
