CUST_ID,SEGMENT_NAME,FRAUD_RISK_SCORE,FRAUD_TIER,CASH_DOMINANT_FLAG,OVERLIMIT_FLAG,ANOMALY_FLAG
C10001,Dormant/Low Engagement,2.92,LOW_RISK,0,0,0
C10002,Cash Advance Users,22.42,LOW_RISK,1,0,0
C10003,Dormant/Low Engagement,11.21,LOW_RISK,0,0,0
C10004,Dormant/Low Engagement,19.03,LOW_RISK,0,0,0
C10005,Revolvers,10.98,LOW_RISK,0,0,0
C10006,Transactors,26.9,LOW_RISK,0,1,0
C10007,Transactors,42.83,LOW_RISK,0,0,0
C10008,Revolvers,13.47,LOW_RISK,0,0,0
C10009,Dormant/Low Engagement,8.99,LOW_RISK,0,0,0
C10010,Dormant/Low Engagement,14.05,LOW_RISK,0,0,0
C10011,Transactors,25.3,LOW_RISK,0,1,0
C10012,Transactors,11.98,LOW_RISK,0,0,0
C10013,Transactors,26.26,LOW_RISK,0,0,0
C10014,Dormant/Low Engagement,12.55,LOW_RISK,0,0,0
C10015,Revolvers,7.6,HIGH_RISK,1,1,0
C10016,Cash Advance Users,39.21,LOW_RISK,0,0,0
C10017,Revolvers,7.56,LOW_RISK,1,0,0
C10018,Dormant/Low Engagement,1.33,LOW_RISK,0,0,0
C10019,Dormant/Low Engagement,23.26,LOW_RISK,0,0,0
C10020,Revolvers,18.9,LOW_RISK,0,0,0
C10021,Revolvers,20.33,LOW_RISK,0,1,0
C10022,Transactors,45.92,LOW_RISK,0,0,0
C10023,Dormant/Low Engagement,11.11,LOW_RISK,0,0,0
C10024,Cash Advance Users,59.12,MEDIUM_RISK,0,0,1
C10025,Revolvers,14.88,HIGH_RISK,1,0,0
C10026,Dormant/Low Engagement,1.69,LOW_RISK,0,0,0
C10027,Revolvers,14.27,HIGH_RISK,1,1,0
C10028,Dormant/Low Engagement,4.99,LOW_RISK,0,0,0
C10029,Cash Advance Users,32.16,LOW_RISK,1,0,0
C10030,Dormant/Low Engagement,6.64,LOW_RISK,0,0,0
C10031,Cash Advance Users,61.76,MEDIUM_RISK,0,1,1
C10032,Dormant/Low Engagement,13.22,LOW_RISK,0,0,0
C10033,Cash Advance Users,26.07,LOW_RISK,1,0,0
C10034,Dormant/Low Engagement,7.89,LOW_RISK,0,0,0
C10035,Dormant/Low Engagement,38.12,LOW_RISK,0,0,0
C10036,Revolvers,7.56,HIGH_RISK,1,1,0
C10037,Cash Advance Users,34.69,LOW_RISK,1,0,0
C10038,Revolvers,34.35,LOW_RISK,0,0,0
C10039,Cash Advance Users,22.79,LOW_RISK,1,0,0
C10040,Cash Advance Users,58.65,MEDIUM_RISK,1,0,1
C10041,Revolvers,15.74,LOW_RISK,1,0,0
C10043,Revolvers,26.18,LOW_RISK,0,0,0
C10044,Revolvers,16.62,LOW_RISK,0,1,0
C10045,Revolvers,7.9,HIGH_RISK,1,1,0
C10046,Dormant/Low Engagement,20.81,LOW_RISK,0,0,0
C10047,Revolvers,21.67,LOW_RISK,0,1,0
C10048,Revolvers,20.32,LOW_RISK,1,0,0
C10049,Revolvers,15.8,HIGH_RISK,1,1,0
C10050,Transactors,15.84,LOW_RISK,0,0,0
C10051,Revolvers,11.4,LOW_RISK,0,0,0
C10052,Cash Advance Users,53.13,MEDIUM_RISK,1,0,0
C10053,Transactors,23.65,LOW_RISK,0,0,0
C10054,Revolvers,5.75,LOW_RISK,1,0,0
C10055,Transactors,32.37,LOW_RISK,0,0,0
C10056,Dormant/Low Engagement,11.69,LOW_RISK,0,0,0
C10057,Dormant/Low Engagement,11.31,LOW_RISK,0,0,0
C10058,Revolvers,19.44,HIGH_RISK,1,1,0
C10059,Transactors,31.91,LOW_RISK,0,0,0
C10060,Revolvers,14.47,HIGH_RISK,1,1,0
C10061,Revolvers,33.01,HIGH_RISK,1,1,0
C10062,Dormant/Low Engagement,13.9,LOW_RISK,0,0,0
C10063,Revolvers,13.64,LOW_RISK,0,1,0
C10064,Revolvers,21.6,LOW_RISK,1,0,0
C10065,Dormant/Low Engagement,11.6,LOW_RISK,0,0,0
C10067,Transactors,49.87,LOW_RISK,0,0,0
C10068,Revolvers,15.27,LOW_RISK,0,1,0
C10069,Revolvers,8.38,LOW_RISK,1,0,0
C10070,Revolvers,6.24,LOW_RISK,1,0,0
C10071,Revolvers,28.31,LOW_RISK,0,0,0
C10072,Transactors,25.48,LOW_RISK,0,1,0
C10073,Revolvers,28.55,LOW_RISK,0,0,0
C10074,Cash Advance Users,83.26,HIGH_RISK,1,0,1
C10075,Revolvers,13.22,LOW_RISK,1,0,0
C10077,Revolvers,11.77,LOW_RISK,0,0,0
C10078,Dormant/Low Engagement,6.46,LOW_RISK,0,0,0
C10079,Revolvers,25.99,LOW_RISK,0,1,0
C10080,Dormant/Low Engagement,19.81,LOW_RISK,0,0,0
C10081,Dormant/Low Engagement,6.65,LOW_RISK,0,0,0
C10082,Revolvers,13.38,HIGH_RISK,1,1,0
C10083,Cash Advance Users,30.74,HIGH_RISK,1,1,0
C10084,Dormant/Low Engagement,4.72,LOW_RISK,0,0,0
C10085,Revolvers,26.93,LOW_RISK,1,0,0
C10086,Dormant/Low Engagement,22.33,LOW_RISK,0,0,0
C10087,Dormant/Low Engagement,3.63,LOW_RISK,0,0,0
C10088,Transactors,34.51,LOW_RISK,0,0,0
C10089,Dormant/Low Engagement,25.26,LOW_RISK,0,0,0
C10090,Cash Advance Users,45.17,LOW_RISK,1,0,0
C10092,Cash Advance Users,49.75,LOW_RISK,1,0,0
C10093,Revolvers,15.97,HIGH_RISK,1,0,0
C10094,Cash Advance Users,19.49,HIGH_RISK,1,1,0
C10095,Cash Advance Users,60.38,MEDIUM_RISK,0,1,1
C10096,Revolvers,31.21,LOW_RISK,1,0,0
C10097,Revolvers,9.76,LOW_RISK,1,0,0
C10098,Dormant/Low Engagement,10.74,LOW_RISK,0,0,0
C10099,Revolvers,16.53,LOW_RISK,0,1,0
C10100,Revolvers,11.48,HIGH_RISK,1,1,0
C10101,Dormant/Low Engagement,8.34,LOW_RISK,0,0,0
C10102,Revolvers,12.8,HIGH_RISK,1,0,0
C10103,Dormant/Low Engagement,11.29,LOW_RISK,0,0,0
C10104,Revolvers,30.11,LOW_RISK,1,0,0
C10105,Dormant/Low Engagement,6.79,LOW_RISK,0,0,0
C10106,Dormant/Low Engagement,16.18,LOW_RISK,0,0,0
C10107,Transactors,37.58,LOW_RISK,0,0,0
C10108,Dormant/Low Engagement,5.19,LOW_RISK,0,0,0
C10109,Revolvers,9.65,LOW_RISK,1,0,0
C10110,Revolvers,14.17,LOW_RISK,0,0,0
C10111,Dormant/Low Engagement,6.44,LOW_RISK,0,0,0
C10112,Cash Advance Users,20.43,LOW_RISK,1,0,0
C10113,Revolvers,14.1,LOW_RISK,0,0,0
C10114,Cash Advance Users,65.16,MEDIUM_RISK,0,0,1
C10115,Dormant/Low Engagement,3.83,LOW_RISK,0,0,0
C10116,Revolvers,12.26,MEDIUM_RISK,1,0,0
C10117,Cash Advance Users,36.47,LOW_RISK,0,0,0
C10118,Cash Advance Users,19.82,HIGH_RISK,1,1,0
C10119,Dormant/Low Engagement,8.13,LOW_RISK,0,0,0
C10120,Dormant/Low Engagement,6.51,LOW_RISK,0,0,0
C10121,Dormant/Low Engagement,9.78,LOW_RISK,0,0,0
C10122,Revolvers,10.29,HIGH_RISK,1,1,0
C10123,Dormant/Low Engagement,11.55,LOW_RISK,0,0,0
C10124,Revolvers,7.13,HIGH_RISK,1,0,0
C10125,Cash Advance Users,59.57,MEDIUM_RISK,0,0,1
C10126,Dormant/Low Engagement,15.23,LOW_RISK,0,0,0
C10127,Transactors,32.98,LOW_RISK,0,0,0
C10128,Revolvers,6.87,HIGH_RISK,1,0,0
C10130,Cash Advance Users,53.13,MEDIUM_RISK,1,0,0
C10131,Transactors,68.0,MEDIUM_RISK,0,0,1
C10132,Revolvers,11.12,LOW_RISK,1,0,0
C10133,Transactors,21.94,LOW_RISK,0,0,0
C10134,Cash Advance Users,55.65,MEDIUM_RISK,1,0,0
C10135,Revolvers,32.85,LOW_RISK,1,0,0
C10136,Dormant/Low Engagement,15.7,LOW_RISK,0,0,0
C10137,Revolvers,24.97,LOW_RISK,0,1,0
C10138,Dormant/Low Engagement,0.95,LOW_RISK,0,0,0
C10139,Cash Advance Users,68.61,MEDIUM_RISK,1,0,1
C10140,Dormant/Low Engagement,2.43,LOW_RISK,0,0,0
C10141,Transactors,15.61,LOW_RISK,0,0,0
C10142,Transactors,40.78,LOW_RISK,0,0,0
C10143,Transactors,24.47,LOW_RISK,0,0,0
C10144,Cash Advance Users,92.94,HIGH_RISK,0,1,1
C10145,Revolvers,14.73,LOW_RISK,0,0,0
C10146,Revolvers,16.08,LOW_RISK,0,1,0
C10147,Revolvers,14.55,LOW_RISK,1,0,0
C10148,Cash Advance Users,21.55,MEDIUM_RISK,1,0,0
C10149,Cash Advance Users,53.77,MEDIUM_RISK,0,0,0
C10150,Transactors,34.48,LOW_RISK,0,0,0
C10151,Dormant/Low Engagement,12.52,LOW_RISK,0,0,0
C10152,Dormant/Low Engagement,15.07,LOW_RISK,0,0,0
C10153,Revolvers,20.16,LOW_RISK,1,0,0
C10154,Transactors,18.5,LOW_RISK,0,0,0
C10155,Dormant/Low Engagement,26.33,LOW_RISK,0,0,0
C10156,Transactors,54.08,MEDIUM_RISK,0,1,0
C10157,Transactors,21.52,LOW_RISK,0,0,0
C10158,Dormant/Low Engagement,8.32,LOW_RISK,0,0,0
C10159,Cash Advance Users,81.91,HIGH_RISK,0,0,1
C10160,Transactors,19.29,LOW_RISK,0,0,0
C10161,Dormant/Low Engagement,33.25,LOW_RISK,0,0,0
C10162,Cash Advance Users,46.44,MEDIUM_RISK,0,0,0
C10163,Revolvers,9.56,HIGH_RISK,1,1,0
C10164,Transactors,54.55,MEDIUM_RISK,0,0,0
C10165,Revolvers,14.55,LOW_RISK,0,0,0
C10166,Revolvers,7.42,HIGH_RISK,1,1,0
C10167,Revolvers,13.4,LOW_RISK,1,0,0
C10168,Transactors,13.38,LOW_RISK,0,0,0
C10169,Dormant/Low Engagement,7.44,LOW_RISK,0,0,0
C10170,Dormant/Low Engagement,6.79,LOW_RISK,0,0,0
C10171,Revolvers,16.7,HIGH_RISK,1,0,0
C10172,Dormant/Low Engagement,15.44,LOW_RISK,0,0,0
C10173,Transactors,48.33,LOW_RISK,0,0,0
C10174,Transactors,29.79,LOW_RISK,0,1,0
C10175,Dormant/Low Engagement,9.23,LOW_RISK,0,0,0
C10176,Revolvers,17.45,LOW_RISK,1,0,0
C10177,Transactors,63.14,MEDIUM_RISK,0,0,1
C10178,Dormant/Low Engagement,18.85,LOW_RISK,0,0,0
C10179,Revolvers,11.33,LOW_RISK,1,0,0
C10180,Cash Advance Users,63.36,MEDIUM_RISK,0,0,1
C10181,Revolvers,6.79,HIGH_RISK,1,0,0
C10182,Revolvers,19.58,LOW_RISK,0,0,0
C10183,Revolvers,14.43,HIGH_RISK,1,1,0
C10184,Dormant/Low Engagement,33.69,LOW_RISK,0,0,0
C10185,Dormant/Low Engagement,5.61,LOW_RISK,0,0,0
C10186,Transactors,25.07,LOW_RISK,0,0,0
C10187,Dormant/Low Engagement,8.89,LOW_RISK,0,0,0
C10188,Cash Advance Users,72.43,MEDIUM_RISK,1,0,1
C10189,Dormant/Low Engagement,21.06,LOW_RISK,0,0,0
C10190,Dormant/Low Engagement,10.44,LOW_RISK,0,0,0
C10191,Transactors,25.72,LOW_RISK,0,0,0
C10192,Revolvers,24.18,LOW_RISK,1,0,0
C10193,Transactors,18.11,LOW_RISK,0,1,0
C10194,Dormant/Low Engagement,19.64,LOW_RISK,0,0,0
C10196,Revolvers,13.02,LOW_RISK,1,0,0
C10197,Dormant/Low Engagement,5.74,LOW_RISK,0,0,0
C10198,Dormant/Low Engagement,8.48,LOW_RISK,0,0,0
C10199,Revolvers,27.09,LOW_RISK,1,0,0
C10200,Cash Advance Users,39.69,LOW_RISK,0,0,0
C10201,Revolvers,19.55,LOW_RISK,0,1,0
C10202,Transactors,33.14,LOW_RISK,0,0,0
C10203,Dormant/Low Engagement,19.69,LOW_RISK,0,0,0
C10204,Dormant/Low Engagement,22.48,LOW_RISK,0,0,0
C10205,Dormant/Low Engagement,11.18,LOW_RISK,0,0,0
C10206,Cash Advance Users,37.96,HIGH_RISK,1,1,0
C10207,Dormant/Low Engagement,33.69,LOW_RISK,0,0,0
C10208,Revolvers,18.02,LOW_RISK,1,0,0
C10209,Dormant/Low Engagement,1.04,LOW_RISK,0,0,0
C10211,Cash Advance Users,47.86,LOW_RISK,0,0,0
C10212,Transactors,58.74,MEDIUM_RISK,0,0,1
C10213,Dormant/Low Engagement,8.85,LOW_RISK,0,0,0
C10214,Revolvers,22.77,HIGH_RISK,1,0,0
C10215,Cash Advance Users,39.29,LOW_RISK,1,0,0
C10216,Cash Advance Users,36.76,LOW_RISK,1,0,0
C10217,Dormant/Low Engagement,5.91,LOW_RISK,0,0,0
C10218,Cash Advance Users,35.87,LOW_RISK,1,0,0
C10219,Dormant/Low Engagement,13.86,LOW_RISK,0,0,0
C10220,Revolvers,19.94,LOW_RISK,1,0,0
C10221,Dormant/Low Engagement,7.06,LOW_RISK,0,0,0
C10222,Dormant/Low Engagement,0.76,LOW_RISK,0,0,0
C10223,Dormant/Low Engagement,10.93,LOW_RISK,0,0,0
C10224,Transactors,22.33,LOW_RISK,0,0,0
C10226,Dormant/Low Engagement,16.9,LOW_RISK,0,0,0
C10227,Revolvers,26.68,HIGH_RISK,1,1,0
C10228,Transactors,32.71,LOW_RISK,0,0,0
C10229,Transactors,72.84,MEDIUM_RISK,0,1,1
C10230,Dormant/Low Engagement,14.53,LOW_RISK,0,0,0
C10231,Dormant/Low Engagement,3.79,LOW_RISK,0,0,0
C10232,Cash Advance Users,31.67,LOW_RISK,0,0,0
C10233,Transactors,64.29,MEDIUM_RISK,0,0,1
C10234,Dormant/Low Engagement,4.36,LOW_RISK,0,0,0
C10235,Revolvers,27.06,LOW_RISK,0,1,0
C10236,Dormant/Low Engagement,15.22,LOW_RISK,0,0,0
C10237,Revolvers,46.57,LOW_RISK,1,0,0
C10238,Transactors,61.57,MEDIUM_RISK,0,0,1
C10239,Transactors,14.61,LOW_RISK,0,0,0
C10240,Transactors,28.29,LOW_RISK,0,0,0
C10241,Dormant/Low Engagement,16.02,LOW_RISK,0,0,0
C10242,Revolvers,11.76,LOW_RISK,0,0,0
C10243,Transactors,30.36,LOW_RISK,0,0,0
C10244,Dormant/Low Engagement,20.24,MEDIUM_RISK,0,0,0
C10245,Cash Advance Users,42.93,LOW_RISK,1,0,0
C10246,Revolvers,25.5,LOW_RISK,0,0,0
C10247,Dormant/Low Engagement,16.58,LOW_RISK,0,0,0
C10248,Revolvers,14.51,LOW_RISK,0,1,0
C10249,Cash Advance Users,38.23,MEDIUM_RISK,1,0,0
C10250,Transactors,18.48,LOW_RISK,0,0,0
C10251,Transactors,32.23,LOW_RISK,0,0,0
C10252,Dormant/Low Engagement,5.79,LOW_RISK,0,0,0
C10253,Transactors,35.12,LOW_RISK,0,1,0
C10254,Dormant/Low Engagement,2.29,LOW_RISK,0,0,0
C10255,Dormant/Low Engagement,18.2,LOW_RISK,0,0,0
C10256,Dormant/Low Engagement,3.61,LOW_RISK,0,0,0
C10257,Cash Advance Users,72.14,MEDIUM_RISK,1,0,1
C10258,Cash Advance Users,43.49,LOW_RISK,0,0,0
C10259,Revolvers,25.52,LOW_RISK,1,0,0
C10260,Transactors,25.33,LOW_RISK,0,0,0
C10261,Dormant/Low Engagement,1.7,LOW_RISK,0,0,0
C10262,Dormant/Low Engagement,16.36,LOW_RISK,0,0,0
C10263,Revolvers,15.19,HIGH_RISK,1,0,0
C10265,Dormant/Low Engagement,3.09,LOW_RISK,0,0,0
C10266,Dormant/Low Engagement,14.9,LOW_RISK,0,0,0
C10267,Dormant/Low Engagement,26.51,LOW_RISK,0,0,0
C10269,Cash Advance Users,34.33,LOW_RISK,0,0,0
C10270,Revolvers,13.46,HIGH_RISK,1,0,0
C10271,Transactors,24.58,LOW_RISK,0,0,0
C10272,Transactors,24.49,LOW_RISK,0,0,0
C10273,Transactors,45.48,LOW_RISK,0,0,0
C10274,Cash Advance Users,70.89,MEDIUM_RISK,0,0,1
C10275,Dormant/Low Engagement,13.11,LOW_RISK,0,0,0
C10276,Transactors,51.79,MEDIUM_RISK,0,1,0
C10277,Transactors,16.57,LOW_RISK,0,0,0
C10278,Dormant/Low Engagement,10.96,LOW_RISK,0,0,0
C10279,Dormant/Low Engagement,8.58,LOW_RISK,0,0,0
C10280,Transactors,57.36,MEDIUM_RISK,0,0,1
C10281,Transactors,32.92,LOW_RISK,0,0,0
C10282,Revolvers,15.15,LOW_RISK,1,0,0
C10283,Dormant/Low Engagement,20.52,LOW_RISK,0,0,0
C10284,Transactors,82.6,HIGH_RISK,0,0,1
C10285,Cash Advance Users,75.13,HIGH_RISK,1,0,1
