CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,UTILIZATION_RATIO,PAYMENT_TO_BALANCE,SPEND_VELOCITY,INSTALLMENT_FREQUENCY,CASH_ADVANCE_RATIO,PURCHASE_TYPE_RATIO,CLUSTER_ID,SEGMENT_NAME,PC1,PC2
C10001,40.900749,0.818182,95.4,0.0,95.4,0.0,0.166667,0.0,0.083333,0.0,0.0,2.0,1000.0,201.802084,139.509787,0.0,12.0,0.040900749,4.816192760659243,0.0954,0.9896265560165975,0.0,0.0,1,Dormant/Low Engagement,-1.7972002460363614,-0.3647328235886337
C10002,3202.467416,0.909091,0.0,0.0,0.0,6442.945483,0.0,0.0,0.0,0.25,4.0,0.0,7000.0,4103.032597,1072.340217,0.222222,12.0,0.4574953451428571,1.2808098426433316,0.0,0.0,0.9998448155710444,0.0,0,Cash Advance Users,2.8617487890818367,-0.8948405849269631
C10003,2495.148862,1.0,773.17,773.17,0.0,0.0,1.0,1.0,0.0,0.0,0.0,12.0,7500.0,622.066742,627.284787,0.0,12.0,0.3326865149333333,0.2492105945562793,0.1030893333333333,0.0,0.0,0.9987082940439438,1,Dormant/Low Engagement,-0.11427429149570927,0.15403675710611442
C10004,1666.670542,0.636364,1499.0,1499.0,0.0,205.788017,0.083333,0.083333,0.0,0.083333,1.0,1.0,7500.0,0.0,312.343947,0.0,12.0,0.2222227389333333,0.0,0.1998666666666666,0.0,0.1206410262876175,0.9993333333333332,1,Dormant/Low Engagement,-0.34793495059451507,0.3586495862755544
C10005,817.714335,1.0,16.0,16.0,0.0,0.0,0.083333,0.083333,0.0,0.0,0.0,1.0,1200.0,678.334763,244.791237,0.0,12.0,0.6814286125,0.8285365651988981,0.0133333333333333,0.0,0.0,0.9411764705882352,2,Revolvers,-0.7741637392334747,-0.8971001682059688
C10006,1809.828751,1.0,1333.28,0.0,1333.28,0.0,0.666667,0.0,0.583333,0.0,0.0,8.0,1800.0,1400.05777,2407.246035,0.0,12.0,1.0,0.7731585713043496,0.7407111111111111,0.9992505321221932,0.0,0.0,3,Transactors,-0.5327843662035545,0.7608041681935845
C10007,627.260806,1.0,7091.01,6402.63,688.38,0.0,1.0,1.0,1.0,0.0,0.0,64.0,13500.0,6354.314328,198.065894,1.0,12.0,0.0464637634074074,10.114134555769184,0.5252600000000001,0.0970641609360392,0.0,0.902794835314671,3,Transactors,0.5019211528085669,3.969877568956532
C10008,1823.652743,1.0,436.2,0.0,436.2,0.0,1.0,0.0,1.0,0.0,0.0,12.0,2300.0,679.065082,532.03399,0.0,12.0,0.7928924969565218,0.3721612699211555,0.1896521739130434,0.9977127172918572,0.0,0.0,2,Revolvers,-0.5374263712527987,-0.34081563386795993
C10009,1014.926473,1.0,861.49,661.49,200.0,0.0,0.333333,0.083333,0.25,0.0,0.0,5.0,7000.0,688.278568,311.963409,0.0,12.0,0.1449894961428571,0.6774885646670219,0.12307,0.231886746513003,0.0,0.7669538197544319,1,Dormant/Low Engagement,-0.721656987416787,0.28537254769830367
C10010,152.225975,0.545455,1281.6,1281.6,0.0,0.0,0.166667,0.166667,0.0,0.0,0.0,3.0,11000.0,1164.770591,100.302262,0.0,12.0,0.013838725,7.601652337340323,0.1165090909090909,0.0,0.0,0.9992203336971776,1,Dormant/Low Engagement,-0.5703965153201622,0.7897904776940674
C10011,1293.124939,1.0,920.12,0.0,920.12,0.0,1.0,0.0,1.0,0.0,0.0,12.0,1200.0,1083.301007,2172.697765,0.0,12.0,1.0,0.8370915159374732,0.7667666666666667,0.9989143651207226,0.0,0.0,3,Transactors,-0.7845171811589973,0.5911838429753667
C10012,630.794744,0.818182,1492.18,1492.18,0.0,0.0,0.25,0.25,0.0,0.0,0.0,6.0,2000.0,705.618627,155.549069,0.0,12.0,0.315397372,1.116847890396505,0.74609,0.0,0.0,0.9993302883778246,3,Transactors,-1.3486881517962528,0.9824784479237384
C10013,1516.92862,1.0,3217.99,2500.23,717.76,0.0,1.0,0.25,0.916667,0.0,0.0,26.0,3000.0,608.263689,490.207013,0.25,12.0,0.5056428733333334,0.4007195601859065,1.0,0.2229767722173725,0.0,0.776712571334487,3,Transactors,-0.9472984624839018,1.8672638008935014
C10014,921.693369,1.0,2137.93,419.96,1717.97,0.0,0.75,0.166667,0.75,0.0,0.0,26.0,7500.0,1655.891435,251.137986,0.083333,12.0,0.1228924491999999,1.794628086245627,0.2850573333333333,0.8031913152838102,0.0,0.196341161234823,1,Dormant/Low Engagement,-0.70108882975604,1.1490604529464097
C10015,2772.772734,1.0,0.0,0.0,0.0,346.81139,0.0,0.0,0.0,0.083333,1.0,0.0,3000.0,805.647974,989.962866,0.0,12.0,0.924257578,0.2904520489817461,0.0,0.0,0.9971248785153356,0.0,2,Revolvers,1.04686836169723,-1.737498359330927
C10016,6886.213231,1.0,1611.7,0.0,1611.7,2301.491267,0.5,0.0,0.5,0.166667,4.0,11.0,8000.0,1993.439277,2109.90649,0.0,12.0,0.860776653875,0.2894406213571754,0.2014625,0.9993799218701556,0.587986408943158,0.0,0,Cash Advance Users,2.5156427999759345,0.09628296918518059
C10017,2072.074354,0.875,0.0,0.0,0.0,2784.274703,0.0,0.0,0.0,0.25,3.0,0.0,3000.0,391.974562,376.579631,0.0,8.0,0.6906914513333333,0.1890788727590424,0.0,0.0,0.9996409689863184,0.0,2,Revolvers,1.1680343627800291,-1.758505894558836
C10018,41.089489,0.454545,519.0,0.0,519.0,0.0,0.416667,0.0,0.333333,0.0,0.0,8.0,2500.0,254.590662,73.203221,0.25,12.0,0.0164357956,6.048794320121112,0.2076,0.9980769230769232,0.0,0.0,1,Dormant/Low Engagement,-1.7092625650423257,0.07120039789312696
C10019,1989.072228,1.0,504.35,166.0,338.35,0.0,0.666667,0.083333,0.583333,0.0,0.0,9.0,13000.0,1720.837373,744.613395,0.0,12.0,0.153005556,0.8647110133934295,0.0387961538461538,0.6695359651726527,0.0,0.3284852082714949,1,Dormant/Low Engagement,0.15142323877643785,0.710597177485658
C10020,3577.970933,1.0,398.64,0.0,398.64,0.0,1.0,0.0,1.0,0.0,0.0,12.0,4000.0,1053.980464,12465.54938,0.0,12.0,0.89449273325,0.2944926024075088,0.09966,0.9974977479731758,0.0,0.0,2,Revolvers,0.22288386448839762,-0.34119291816038566
C10021,2016.684686,1.0,176.68,0.0,176.68,0.0,0.666667,0.0,0.666667,0.0,0.0,8.0,2000.0,223.0686,13557.29726,0.0,12.0,1.0,0.1105567195646545,0.08834,0.9943719045475012,0.0,0.0,2,Revolvers,-0.3490912782311618,-0.7797291061151238
C10022,6369.531318,1.0,6359.95,5910.04,449.91,229.028245,1.0,0.916667,1.0,0.333333,6.0,92.0,11250.0,2077.959051,1659.775075,0.0,12.0,0.5661805616000001,0.3261830053528982,0.5653288888888889,0.0707300010218599,0.0347540214072436,0.9291127897562472,3,Transactors,1.6907098711709039,2.840613509932717
C10023,132.34224,0.636364,815.9,0.0,815.9,0.0,1.0,0.0,1.0,0.0,0.0,17.0,1800.0,2359.629958,86.329554,0.0,12.0,0.0735234666666666,17.69604258935503,0.4532777777777778,0.9987758599583793,0.0,0.0,1,Dormant/Low Engagement,-1.5551343236785902,0.7749631323656014
C10024,3800.151377,0.818182,4248.35,3454.56,793.79,7974.415626,1.0,0.083333,0.916667,0.333333,13.0,13.0,9000.0,9479.043842,1425.426525,0.0,12.0,0.4222390418888889,2.493729636592686,0.4720388888888889,0.1868026874698483,0.6523698073070368,0.8129619824208407,0,Cash Advance Users,3.800948367794284,2.2545596140868267
C10025,5368.571219,1.0,0.0,0.0,0.0,798.949863,0.0,0.0,0.0,0.363636,4.0,0.0,6000.0,1422.726707,1657.002877,0.0,11.0,0.8947618698333334,0.2649609529278133,0.0,0.0,0.9987499216560276,0.0,2,Revolvers,2.1037665484671906,-1.371737392644306
C10026,169.781679,1.0,399.6,0.0,399.6,0.0,1.0,0.0,1.0,0.0,0.0,12.0,3000.0,215.306142,163.005536,0.0,12.0,0.056593893,1.260709832932372,0.1332,0.9975037443834248,0.0,0.0,1,Dormant/Low Engagement,-1.5703543237556532,-0.07316369627807763
C10027,1615.96724,1.0,102.0,102.0,0.0,244.840485,0.166667,0.166667,0.0,0.25,5.0,2.0,1700.0,890.178845,971.183209,0.0,12.0,0.9505689647058824,0.550523735409754,0.06,0.0,0.7038872574019094,0.9902912621359224,2,Revolvers,0.3796122364690816,-1.4788732439275687
C10028,125.694817,1.0,233.28,0.0,233.28,0.0,1.0,0.0,1.0,0.0,0.0,12.0,1000.0,207.773715,164.748819,0.0,12.0,0.125694817,1.639954340042182,0.23328,0.9957316032098344,0.0,0.0,1,Dormant/Low Engagement,-1.7587469413851469,-0.14475467079924986
C10029,7152.864372,1.0,387.05,204.55,182.5,2236.145259,0.666667,0.166667,0.416667,0.833333,16.0,8.0,10500.0,1601.448347,1648.851345,0.0,12.0,0.6812251782857143,0.2238578010044499,0.0368619047619047,0.4703002190439376,0.8521260951641708,0.5271227934544518,0,Cash Advance Users,2.9089761558020237,-0.5529346755112882
C10030,22.06349,1.0,100.0,0.0,100.0,0.0,0.416667,0.0,0.416667,0.0,0.0,5.0,6900.0,160.767773,159.684442,0.0,12.0,0.0031976072463768,6.970661118503747,0.0144927536231884,0.99009900990099,0.0,0.0,1,Dormant/Low Engagement,-1.2623888703782837,-0.03743573301268503
C10031,12136.21996,1.0,3038.01,1013.2,2024.81,3183.583301,1.0,0.166667,1.0,0.5,10.0,64.0,13000.0,4230.323491,3292.01503,0.0,12.0,0.9335553815384616,0.3485413879736592,0.2336930769230769,0.6662728980819411,0.5116168046027342,0.333398047390433,0,Cash Advance Users,4.821868636172272,1.2943029316453998
C10032,1162.273324,1.0,1347.71,400.0,947.71,175.815755,1.0,0.083333,1.0,0.166667,2.0,45.0,6000.0,645.998299,256.848991,0.0,12.0,0.1937122206666666,0.555328043437537,0.2246183333333333,0.7026788560921177,0.1153248834421954,0.2965796946712043,1,Dormant/Low Engagement,-0.6920482722724113,0.42686206428240403
C10033,6732.823064,1.0,324.95,324.95,0.0,1189.533753,0.083333,0.083333,0.0,0.166667,3.0,3.0,10500.0,1720.118876,2506.745366,0.0,12.0,0.6412212441904762,0.2554446203369979,0.030947619047619,0.0,0.784920162057323,0.996932044792146,0,Cash Advance Users,2.5594525165720894,-0.5092901986138618
C10034,125.660453,1.0,636.79,636.79,0.0,0.0,0.916667,0.916667,0.0,0.0,0.0,11.0,1200.0,423.449696,196.301885,0.3,12.0,0.1047170441666666,3.3431879167525165,0.5306583333333333,0.0,0.0,0.9984320857962652,1,Dormant/Low Engagement,-1.7091810198882638,0.4033619931269025
C10035,3517.101616,0.727273,547.28,0.0,547.28,0.0,1.0,0.0,1.0,0.0,0.0,14.0,11000.0,8735.607835,17862.55831,0.0,12.0,0.3197365105454545,2.483045911826784,0.0497527272727272,0.9981761143941053,0.0,0.0,1,Dormant/Low Engagement,1.2676471919431889,1.55651582648163
C10036,1656.350781,1.0,0.0,0.0,0.0,99.264367,0.0,0.0,0.0,0.083333,1.0,0.0,1800.0,351.500199,634.569311,0.0,12.0,0.9201948783333334,0.2120855783999537,0.0,0.0,0.990026366994368,0.0,2,Revolvers,0.5457028524010983,-1.898074938613737
C10037,7427.076941,1.0,0.0,0.0,0.0,8873.375046,0.0,0.0,0.0,0.727273,11.0,0.0,9000.0,1636.361601,1986.843608,0.0,11.0,0.8252307712222222,0.220294110305716,0.0,0.0,0.9998873160087536,0.0,0,Cash Advance Users,4.6632096250496025,-1.2960697731429773
C10038,4047.480828,1.0,2380.55,1642.17,738.38,1697.660901,0.75,0.5,0.75,0.333333,7.0,41.0,5000.0,1617.894416,1541.141605,0.0,12.0,0.8094961656,0.3996300056086124,0.47611,0.3100417795133421,0.4161738488646973,0.689538325880204,2,Revolvers,1.1832106373157942,0.5430758933109515
C10039,6269.418144,1.0,204.0,204.0,0.0,2925.699862,0.083333,0.083333,0.0,0.333333,12.0,2.0,9000.0,1237.111661,2049.408839,0.0,12.0,0.696602016,0.1972933275883299,0.0226666666666666,0.0,0.9345194336613798,0.9951219512195122,0,Cash Advance Users,2.8205478548744414,-0.9623690077169534
C10040,1411.60223,0.454545,963.24,963.24,0.0,6173.682877,0.083333,0.083333,0.0,0.333333,6.0,6.0,7500.0,20071.07544,719.948985,0.333333,12.0,0.1882136306666666,14.208582581665611,0.128432,0.0,0.8649130823328172,0.9989629137973948,0,Cash Advance Users,3.9211297452185847,2.1227208181310564
C10041,663.44781,0.727273,0.0,0.0,0.0,3133.063934,0.0,0.0,0.0,0.25,3.0,0.0,1800.0,3067.05783,283.333445,0.166667,12.0,0.3685821166666667,4.615949941952552,0.0,0.0,0.9996809254625756,0.0,2,Revolvers,0.8180716629262774,-1.3261362528707779
C10043,784.889762,0.909091,1526.59,786.3,740.29,2188.419607,0.583333,0.416667,0.333333,0.25,11.0,27.0,3000.0,1262.309666,363.142736,0.111111,12.0,0.2616299206666667,1.606217216505742,0.5088633333333333,0.4846130178909262,0.5889165633150097,0.5147323561950523,2,Revolvers,-0.1564544625385543,0.26438197071778025
