CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,UTILIZATION_RATIO,PAYMENT_TO_BALANCE,SPEND_VELOCITY,INSTALLMENT_FREQUENCY,CASH_ADVANCE_RATIO,PURCHASE_TYPE_RATIO
C10001,40.900749,0.818182,95.4,0.0,95.4,0.0,0.166667,0.0,0.083333,0.0,0.0,2.0,1000.0,201.802084,139.509787,0.0,12.0,0.040900749,4.816192760659243,0.09540000000000001,0.9896265560165975,0.0,0.0
C10002,3202.467416,0.909091,0.0,0.0,0.0,6442.945483,0.0,0.0,0.0,0.25,4.0,0.0,7000.0,4103.032597,1072.340217,0.222222,12.0,0.4574953451428571,1.2808098426433316,0.0,0.0,0.9998448155710444,0.0
C10003,2495.148862,1.0,773.17,773.17,0.0,0.0,1.0,1.0,0.0,0.0,0.0,12.0,7500.0,622.066742,627.284787,0.0,12.0,0.33268651493333334,0.2492105945562793,0.10308933333333332,0.0,0.0,0.9987082940439438
C10004,1666.670542,0.636364,1499.0,1499.0,0.0,205.788017,0.083333,0.083333,0.0,0.083333,1.0,1.0,7500.0,0.0,312.343947,0.0,12.0,0.22222273893333333,0.0,0.19986666666666666,0.0,0.12064102628761754,0.9993333333333333
C10005,817.714335,1.0,16.0,16.0,0.0,0.0,0.083333,0.083333,0.0,0.0,0.0,1.0,1200.0,678.334763,244.791237,0.0,12.0,0.6814286125,0.8285365651988981,0.013333333333333334,0.0,0.0,0.9411764705882353
C10006,1809.828751,1.0,1333.28,0.0,1333.28,0.0,0.666667,0.0,0.583333,0.0,0.0,8.0,1800.0,1400.05777,2407.246035,0.0,12.0,1.0,0.7731585713043496,0.7407111111111111,0.9992505321221933,0.0,0.0
C10007,627.260806,1.0,7091.01,6402.63,688.38,0.0,1.0,1.0,1.0,0.0,0.0,64.0,13500.0,6354.314328,198.065894,1.0,12.0,0.046463763407407405,10.114134555769185,0.5252600000000001,0.09706416093603928,0.0,0.902794835314671
C10008,1823.652743,1.0,436.2,0.0,436.2,0.0,1.0,0.0,1.0,0.0,0.0,12.0,2300.0,679.065082,532.03399,0.0,12.0,0.7928924969565218,0.37216126992115556,0.18965217391304348,0.9977127172918573,0.0,0.0
C10009,1014.926473,1.0,861.49,661.49,200.0,0.0,0.333333,0.083333,0.25,0.0,0.0,5.0,7000.0,688.278568,311.963409,0.0,12.0,0.14498949614285714,0.6774885646670219,0.12307,0.23188674651300303,0.0,0.7669538197544319
C10010,152.225975,0.545455,1281.6,1281.6,0.0,0.0,0.166667,0.166667,0.0,0.0,0.0,3.0,11000.0,1164.770591,100.302262,0.0,12.0,0.013838725,7.601652337340323,0.1165090909090909,0.0,0.0,0.9992203336971776
